key,value,rounding,source_file,filter
h2.Chla.reject_threshold,0.9386512422492111,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.threshold_minus_nominal,0.038651242249211126,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.threshold_minus_nominal_over_se_nb,1.1395006928445888,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.threshold_minus_nominal_over_se_naive,2.8128253774452854,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.threshold_minus_margin_over_se_nb,1.7291328115213678,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.power_at_90_nb_sd,0.1409597417424877,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.power_at_90_naive_sd,0.0024554155811708444,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.power_at_92_nb_sd,0.3058912412363747,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.power_at_92_naive_sd,0.08733738070823266,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.naive_t,1.5631634040497129,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.naive_p,0.06725852203689646,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
cell.Chla.hyp.waterbody.primary.lgbm.scp_gsub.a100.cov_wb_sd,0.0614519520316217,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
cell.Chla.hyp.waterbody.primary.lgbm.scp_gsub.a100.n_train_wb_mean,200.85,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
cell.Chla.hyp.waterbody.primary.lgbm.scp_gsub.a100.n_test_wb_mean,51.15,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.n_splits_ge_088,12.0,integer,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.n_splits_ge_090,11.0,integer,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.split_min,0.7856537377299907,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.split_max,0.9861048951048952,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.n_splits,20.0,integer,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.mean_cov_wb,0.9050010624988285,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.sd_splits,0.05112100950831264,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.se_naive,0.011431005233900015,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.se_nb,0.028095129766526,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.nb_inflation,2.457800446386511,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.n_test_wb_mean,61.8,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.n_train_wb_mean,245.2,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.test_train_ratio,0.25203915171288743,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.ess_repeats,3.3108290575209294,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.reject_threshold,0.9285802107232508,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.threshold_minus_nominal,0.028580210723250787,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.threshold_minus_nominal_over_se_nb,1.0172656599473244,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.threshold_minus_nominal_over_se_naive,2.5002359931122022,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.threshold_minus_margin_over_se_nb,1.729132811521369,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.power_at_90_nb_sd,0.16899678151187816,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.power_at_90_naive_sd,0.006205529987638534,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.power_at_92_nb_sd,0.39283778015644766,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.power_at_92_naive_sd,0.22644412491602017,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.naive_t,2.187127202486519,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.naive_p,0.02072083420440664,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
cell.TSS.hyp.waterbody.primary.lgbm.scp_gsub.a100.cov_wb_sd,0.05112100950831264,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
cell.TSS.hyp.waterbody.primary.lgbm.scp_gsub.a100.n_train_wb_mean,245.2,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
cell.TSS.hyp.waterbody.primary.lgbm.scp_gsub.a100.n_test_wb_mean,61.8,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.n_splits_ge_088,15.0,integer,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.n_splits_ge_090,10.0,integer,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.split_min,0.7880129438129027,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.TSS.split_max,0.9707393821912124,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.n_splits,20.0,integer,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.mean_cov_wb,0.9025894514925399,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.sd_splits,0.05663225248970246,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.se_naive,0.01266335662859064,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.se_nb,0.0311008494599102,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.nb_inflation,2.455972012167168,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.n_test_wb_mean,49.45,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.n_train_wb_mean,196.55,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.test_train_ratio,0.25158992622742304,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.ess_repeats,3.315760617434946,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.reject_threshold,0.9337774992673173,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.threshold_minus_nominal,0.033777499267317324,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.threshold_minus_nominal_over_se_nb,1.0860635594811452,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.threshold_minus_nominal_over_se_naive,2.6673417055203448,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.threshold_minus_margin_over_se_nb,1.729132811521368,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.power_at_90_nb_sd,0.15280378449611026,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.power_at_90_naive_sd,0.0038226947545369865,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.power_at_92_nb_sd,0.3429127548617439,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.power_at_92_naive_sd,0.13830161070548513,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.naive_t,1.7838439013506608,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.naive_p,0.04521493449977883,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
cell.aCDOM440.hyp.waterbody.primary.lgbm.scp_gsub.a100.cov_wb_sd,0.05663225248970246,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
cell.aCDOM440.hyp.waterbody.primary.lgbm.scp_gsub.a100.n_train_wb_mean,196.55,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
cell.aCDOM440.hyp.waterbody.primary.lgbm.scp_gsub.a100.n_test_wb_mean,49.45,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.n_splits_ge_088,14.0,integer,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.n_splits_ge_090,11.0,integer,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.split_min,0.7468499738112658,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.aCDOM440.split_max,0.9670186679322892,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.n_splits,20.0,integer,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.mean_cov_wb,0.895251000242912,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.sd_splits,0.052172301462621626,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.se_naive,0.011666081261303366,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.se_nb,0.0286102916642349,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.nb_inflation,2.4524337713243805,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.n_test_wb_mean,65.15,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.n_train_wb_mean,259.85,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.test_train_ratio,0.2507215701366173,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.ess_repeats,3.3253351249320153,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.reject_threshold,0.9294709940638248,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.threshold_minus_nominal,0.029470994063824807,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.threshold_minus_nominal_over_se_nb,1.030083663937822,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.threshold_minus_nominal_over_se_naive,2.5262119647306682,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.threshold_minus_margin_over_se_nb,1.729132811521367,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.power_at_90_nb_sd,0.16589919497969383,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.power_at_90_naive_sd,0.005764994607832694,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.power_at_92_nb_sd,0.38337318566562306,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.power_at_92_naive_sd,0.20844165798964215,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Secchi_depth.naive_t,1.3072941891378662,3 significant figures,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
